team,total_matches_played,total_wins,total_draws,total_losses,win_rate,draw_rate,loss_rate,goals_scored_total,goals_conceded_total,goal_difference,clean_sheets,avg_goals_scored,avg_goals_conceded,shots_per_match,shots_on_target_per_match,avg_possession,pass_accuracy,long_balls_per_match,crosses_per_match,offside_per_match,corners_per_match,tackles_per_match,interceptions_per_match,fouls_per_match,yellow_cards_per_match,red_cards_per_match,xG,xGA,xG_diff,goal_conversion_rate,saves_per_match,defensive_errors,progressive_passes,counter_attack_goals,set_piece_goals,avg_player_age,avg_player_caps,avg_player_experience,avg_minutes_played,avg_player_market_value,total_squad_value,num_foreign_league_players,num_top5_league_players,avg_height,avg_weight,avg_speed,avg_shot_accuracy,avg_pass_accuracy,avg_defensive_duels_won,avg_clearances,avg_dribbles_completed,avg_aerial_duels_won,injury_rate,players_under_23,players_over_30,coach_name,coach_tenure_years,coach_age,coach_nationality_match,total_matches_under_coach,win_rate_under_coach,formation_flexibility,avg_substitutions_used,num_worldcups_played,num_finals_reached,titles_won,semi_finals_reached,quarter_finals_reached,avg_tournament_finish_position,avg_goals_per_worldcup,avg_conceded_per_worldcup,best_finish_year,last_worldcup_rank,years_since_last_final,avg_points_group_stage,knockout_win_rate,continent,home_continent_advantage,host_status,climate_similarity,altitude_similarity,travel_distance_km,avg_travel_hours,fan_support_index,timezone_difference,form_points_last5,goal_diff_last5,streak_wins,streak_losses,undefeated_streak,avg_recent_possession,avg_recent_goals,fifa_rank,fifa_points,elo_rating,elo_change_last_year,avg_opponent_elo,avg_years_playing_together,num_same_club_teammates,communication_index
Norway,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.3,18.4,1.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.6,60.3,7.0,13.0,27.0,30.0,2100.0,2196.0,15.0,400.0,15,10,179.0,75.5,33.3,63.0,77.9,56.0,3.6,17.8,55.6,0.16,5,5,Unknown Coach,2,50,1,14,0.5,3.0,4.8,0,0,0,0,0,11.5,11.5,6.2,0,0,99,4.6,0.599,UEFA,0,0,0.77,0.68,10123.0,12.7,0.65,9.0,11,1.0,4.0,2.0,7.0,54.1,1.57,35,1498.74,1550,61.3,1658.4,3.1,4.0,0.69
Costa Rica,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.3,18.0,1.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.37,50.8,5.0,6.0,27.0,30.0,2100.0,1429.0,15.0,400.0,15,10,179.0,75.5,31.8,60.0,77.9,69.7,7.6,10.9,53.1,0.15,5,5,Unknown Coach,2,50,1,14,0.515,5.0,4.1,0,0,0,0,0,13.5,10.5,7.1,0,0,99,3.7,0.604,CONCACAF,1,0,0.54,0.61,10965.0,13.7,0.36,10.0,11,6.0,0.0,2.0,8.0,51.3,1.5,36,1493.21,1540,71.3,1547.8,2.4,4.0,0.65
Peru,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.5,19.2,1.6,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.83,59.9,7.0,9.0,27.0,30.0,2100.0,1937.0,15.0,400.0,15,10,179.0,75.5,31.3,69.1,77.9,58.6,4.8,15.2,55.4,0.12,5,5,Unknown Coach,2,50,1,14,0.534,4.0,4.8,0,0,0,0,0,14.4,9.6,7.7,0,0,99,5.8,0.603,CONMEBOL,1,0,0.68,0.97,3860.0,4.8,0.52,7.0,11,6.0,0.0,0.0,7.0,53.0,1.59,37,1487.55,1530,26.1,1556.5,3.3,7.0,0.72
Cameroon,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.9,13.2,2.3,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.87,59.7,10.0,14.0,27.0,30.0,2100.0,2464.0,15.0,400.0,15,10,179.0,75.5,29.6,61.4,77.9,58.8,3.8,17.7,57.8,0.22,5,5,Unknown Coach,2,50,1,14,0.546,4.0,4.5,0,0,0,0,0,9.6,10.3,4.9,0,0,99,4.7,0.368,CAF,0,0,0.59,0.98,7577.0,9.5,0.57,6.0,11,-2.0,0.0,0.0,4.0,54.4,1.51,38,1481.67,1520,6.8,1669.1,1.7,6.0,0.82
Tunisia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.8,10.9,1.6,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.76,47.7,11.0,6.0,27.0,30.0,2100.0,1664.0,15.0,400.0,15,10,179.0,75.5,30.9,73.5,77.9,56.7,4.7,9.9,61.2,0.1,5,5,Unknown Coach,2,50,1,14,0.522,3.0,4.0,0,0,0,0,0,15.1,9.0,7.5,0,0,99,6.7,0.543,CAF,0,0,0.85,0.84,4658.0,5.8,0.74,9.0,11,-1.0,1.0,2.0,7.0,53.5,1.46,39,1476.42,1510,-25.7,1478.4,3.5,5.0,0.73
Algeria,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.6,14.4,3.1,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.14,36.6,10.0,8.0,27.0,30.0,2100.0,1597.0,15.0,400.0,15,10,179.0,75.5,32.0,71.0,77.9,56.5,6.5,12.9,60.9,0.16,5,5,Unknown Coach,2,50,1,14,0.498,4.0,4.3,0,0,0,0,0,15.2,5.0,7.7,0,0,99,3.5,0.422,CAF,0,0,0.79,0.76,2171.0,2.7,0.84,9.0,11,1.0,0.0,2.0,2.0,52.0,1.48,40,1470.18,1500,-42.6,1626.6,3.5,6.0,0.89
Ghana,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,10.2,18.6,3.2,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.11,46.9,4.0,14.0,27.0,30.0,2100.0,1433.0,15.0,400.0,15,10,179.0,75.5,30.3,70.3,77.9,60.5,3.6,10.3,59.6,0.14,5,5,Unknown Coach,2,50,1,14,0.524,4.0,4.8,0,0,0,0,0,12.1,10.4,6.3,0,0,99,6.3,0.668,CAF,0,0,0.79,0.82,1568.0,2.0,0.39,8.0,11,-1.0,4.0,0.0,0.0,50.8,1.55,41,1463.89,1490,2.3,1459.4,3.6,5.0,0.87
Mali,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.1,12.4,1.4,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.09,35.1,6.0,7.0,27.0,30.0,2100.0,1604.0,15.0,400.0,15,10,179.0,75.5,30.0,69.6,77.9,60.9,4.8,16.2,56.9,0.13,5,5,Unknown Coach,2,50,1,14,0.477,3.0,3.7,0,0,0,0,0,18.9,11.7,7.0,0,0,99,6.7,0.462,CAF,0,0,0.85,0.94,10519.0,13.1,0.61,11.0,11,6.0,4.0,2.0,5.0,50.1,1.73,42,1458.34,1480,46.6,1598.0,2.8,6.0,0.67
Ivory Coast,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,13.7,19.1,3.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.86,53.3,3.0,13.0,27.0,30.0,2100.0,1455.0,15.0,400.0,15,10,179.0,75.5,32.1,68.5,77.9,61.7,5.3,14.3,52.2,0.19,5,5,Unknown Coach,2,50,1,14,0.542,4.0,3.5,0,0,0,0,0,10.2,10.5,5.4,0,0,99,6.3,0.681,CAF,0,0,0.8,0.99,3339.0,4.2,0.8,7.0,11,-1.0,1.0,1.0,5.0,49.5,1.52,43,1452.76,1470,33.0,1592.1,4.5,8.0,0.85
Qatar,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,11.4,12.9,1.9,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.05,58.1,4.0,7.0,27.0,30.0,2100.0,2032.0,15.0,400.0,15,10,179.0,75.5,30.8,69.7,77.9,57.9,6.1,9.4,50.2,0.11,5,5,Unknown Coach,2,50,1,14,0.522,4.0,4.4,0,0,0,0,0,11.3,5.8,4.6,0,0,99,3.3,0.453,AFC,0,0,0.93,0.64,3498.0,4.4,0.85,8.0,11,4.0,1.0,2.0,5.0,53.5,1.72,44,1447.23,1460,19.9,1608.5,2.4,6.0,0.71
Saudi Arabia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,8.6,16.9,1.1,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.98,49.8,7.0,10.0,27.0,30.0,2100.0,1946.0,15.0,400.0,15,10,179.0,75.5,30.5,68.1,77.9,61.7,3.2,13.0,64.0,0.12,5,5,Unknown Coach,2,50,1,14,0.486,3.0,4.8,0,0,0,0,0,18.8,10.0,5.8,0,0,99,4.2,0.327,AFC,0,0,0.57,0.92,1175.0,1.5,0.7,8.0,11,1.0,2.0,1.0,7.0,52.2,1.69,45,1441.85,1450,69.1,1485.1,1.7,7.0,0.77
Iraq,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,9.0,11.3,3.6,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.33,64.4,10.0,8.0,27.0,30.0,2100.0,2239.0,15.0,400.0,15,10,179.0,75.5,28.1,74.9,77.9,58.7,6.2,9.4,60.6,0.23,5,5,Unknown Coach,2,50,1,14,0.516,4.0,4.3,0,0,0,0,0,10.7,5.2,5.0,0,0,99,4.7,0.691,AFC,0,0,0.58,0.85,10571.0,13.2,0.34,3.0,11,1.0,1.0,1.0,8.0,50.3,1.58,46,1436.42,1440,53.2,1473.5,4.1,2.0,0.71
Slovakia,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,12.4,13.7,3.7,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,0.65,42.5,10.0,6.0,27.0,30.0,2100.0,1358.0,15.0,400.0,15,10,179.0,75.5,29.8,58.1,77.9,59.8,6.0,13.5,60.7,0.16,5,5,Unknown Coach,2,50,1,14,0.5,4.0,4.9,0,0,0,0,0,19.8,4.2,6.0,0,0,99,5.3,0.669,UEFA,0,0,0.61,0.83,3902.0,4.9,0.48,1.0,11,6.0,1.0,1.0,7.0,51.7,1.63,47,1431.18,1430,37.0,1620.1,4.0,4.0,0.8
Wales,20,10,5,5,0.5,0.25,0.25,32,24,8,6,1.6,1.2,12.0,4.5,52.0,82.0,14.9,12.0,1.6,5.0,16.0,11.0,12.0,2.0,0.1,1.6,1.2,0.4,0.356,4.0,1.09,62.0,8.0,9.0,27.0,30.0,2100.0,1459.0,15.0,400.0,15,10,179.0,75.5,28.6,56.8,77.9,63.7,4.3,13.1,58.8,0.1,5,5,Unknown Coach,2,50,1,14,0.46,3.0,4.7,0,0,0,0,0,11.0,7.0,6.0,0,0,99,3.3,0.655,UEFA,0,0,0.78,0.71,1462.0,1.8,0.68,1.0,11,5.0,4.0,1.0,3.0,51.2,1.59,48,1425.93,1420,65.0,1672.6,2.7,5.0,0.69
